ENGINE_ID,ENGINE_NAME,ENGINE_FAMILY,ENGINE_ALT_NAME,FIRST_LAUNCH_YEAR,USAGE,MASS,IMPULSE,THRUST,SPECIFIC_IMPULSE,DURATION,CHAMBER_COUNT
971,SR120,MX Stage 3,,1983,Peacekeeper [3],7983,,329,306,62,1
972,SR19,Minuteman-SR,,1964,Minuteman 2/3 [2],7280,,270,287.5,65.5,1
973,SR19-ATK,Minuteman-SR,,2004,Minuteman 2/3 [2],7033,,268,287.5,65.5,1
974,SR71-AD-1,,,1968,Loki Dart PWN-8B,11,18,9,231,2,1
975,SR73,Minuteman-SR,,1968,Minuteman 3 [3],3655,,152,285,61,1
976,SR73-ATK,Minuteman-SR,,1968,Minuteman 3 PRP [3],3655,,152,285,61,1
977,SRM,SRM,,1981,STS SRB,590000,,11790,267.3,123,1
978,SRMU,SRMU,,1994,Titan 4B,350000,,7500,285.6,137.8,1
979,SS-30,,,,FTB,60,,,,,1
980,SS-50 Antares,,,1972,Tauro,200,,,,18,1
981,SS-520,,,,SS-520 St 2,400,,,,,1
982,SS-520 S3,,,,SS-520 St 3,78,,,,,1
983,SSME,RS-24,,1981,STS ET,,,2100,452.5,516,1
984,ST-735-1,,,,ST-735 [1],7400,,250,,49,1
985,ST-735-2,,,,ST-735 [2],4000,,250,,,1
986,STIG-A,,,2011,STIG-A,,,22.5,200,50,1
987,STIG-B,,,2011,STIG-B,,,22.5,200,50,1
988,SVM-2,,,1968,Intelsat 3,159,400,14,285,28,1
989,Safir,,,2008,Safir [3],1000,,,,,1
990,Saluki B,,,1960,Blue Water [1],360,,195.5,,6,1
991,Saluki S,,,1960,Blue Water [2],442,,35.6,,27,1
992,Seagull,,,1963,Seagull,8,,10,,2,1
993,Sejjil,,,,Sejjil,13000,,560,230,45,1
994,Sejjil St 2,,,,Sejjil,5000,,560,230,20,1
995,Seliger 1,,,1962,Seliger,1000,,50,,,1
996,Seliger 3,,,1962,Seliger,500,,50,,,1
997,Shaheen-2,,,,Shaheen 2 [2],4000,,,,,1
998,Shourya,,,,Shourya [2],5000,,,,,1
999,Shourya Booster,,,,Shourya [1],3000,,,,,1
1000,Sirocco,LPC S-10,,1960,Sirocco,65,111,14.8,,,1
1001,Skybolt,,,,Skybolt,2500,,164,245,40.7,1
1002,Skybolt St2,,Skybolt.St2,1950,Skybolt [2],1230,,81.8,245,41.3,1
1003,Snipe,,,1974,INTA 300 [2],190,261,16.3,,16,1
1004,Sonda 1,,,1965,Sonda 1,27.3,,4.2,,,1
1005,Sonda 1 Booster,,,1965,Sonda 1,27.5,,27,,,1
1006,SpaceLoft,,,2006,SpaceLoft XL,200,,36.6,,12,1
1007,Spectre,,,,Blue Steel,,,35.6,,,1
1008,Sprite,,,,RATO,,,22.2,,,1
1009,Stable Super Loki,,,1973,Stable Super Loki,27,44,21.2,228.7,2.1,1
1010,Star 10,,TE-M-195,1959,SRV Retro Mk I,17,30,33.5,251,9,1
1011,Star 12,,TE-M-236,1960,SRV Mk IV Retro,27.8,46,5.6,252,7.5,1
1012,Star 12A,,TE-M-236-3,1971,Super SARV Retro,33.5,61,7.3,270,7.5,1
1013,Star 13,,TE-M-458,,Star 13,36,84,4.1,273,21,1
1014,Star 13A,,TE-M-516,,Star 13A,38,94,5.9,286.5,15.3,1
1015,Star 13B,,TE-M-763,,Star 13B,47,116,7.6,285.7,14.8,1
1016,Star 13C,,TE-M-345,,Star 13C,38,81,5,218,15,1
1017,Star 13D,,TE-M-375,,Star 13D,35.3,76,5,223,15,1
1018,Star 13E,,TE-M-385,,Star 13E,30.5,63,4.2,211,15,1
1019,Star 13F,,TE-M-444,,Star 13F,40.1,94,6.3,240,15,1
1020,Star 17,,TE-M-479,,Star 17,79,198,11,286,17.6,1
1021,Star 17A,,TE-M-521-5,,Star 17A,125.5,320,16,286.7,19.4,1
1022,Star 20,Altair,TE-M-640-1,1970,Scout G [4],300,772,27.1,286.5,27.5,1
1023,Star 24,,TE-M-604,1969,Star 24,218,561,18.5,282.9,29.6,1
1024,Star 24C,,TE-M-604-4,1978,Star 24 IUE,239,614,21.5,282.3,28,1
1025,Star 26,Star 26,TE-M-442,,Strypi IV,269,616,33.3,271,17.8,1
1026,Star 26B,Star 26,TE-M-442-1,1974,Burner 2A [2],261,635,34.6,271.7,17.8,1
1027,Star 26C,Star 26,TE-M-442-2,1980,DOT,262,622,35,272.1,16.8,1
1028,Star 27,,TE-M-616,1976,Star 27,360.5,951,26.7,288,34.3,1
1029,Star 30A,,TE-M-700-4,1980,Star 30,492,1345,27,294.7,54,1
1030,Star 30B,,TE-M-700-5,1980,Star 30,537,1460,27,293,54,1
1031,Star 30BP,,TE-M-700-20,1980,Star 30BP,542,1460,27,292,54,1
1032,Star 30C,,TE-M-700-18,1980,Star 30C,629,1500,32.7,286.8,51,1
1033,Star 30E,,TE-M-700-19,1980,Star 30E,666,1788,35.3,290.5,49,1
1034,Star 31,Antares,TE-M-762,,Scout G [3],1392,3738,82.3,293.5,45,1
1035,Star 37,TE-364,TE-M-364-1,1966,Star 37,621,1585,,260,,1
1036,Star 37B,TE-364,TE-M-364-2,1966,Star 37B,718,1860,,291,,1
1037,Star 37C,TE-364,TE-M-364-18,,Star 37C,1047,2708,,285.5,,1
1038,Star 37D,TE-364,TE-M-364-3,,Star 37C,719,1860,45,266,,1
1039,Star 37E,TE-364,TE-M-364-4,,Star 37C,1123,2911,,283.6,,1
1040,Star 37F,TE-364,TE-M-364-19,,Star 37F,934,2445,,286,,1
1041,Star 37FM,TE-364,TE-M-783,,Delta 7326 st 3,1147,3052,45.8,291.8,66.4,1
1042,Star 37GV,TE-364,,,Delta 7326 st 3,1084,2825,87,290,49,1
1043,Star 37N,TE-364,TE-M-364-14,,Star 37N,622,1591,,290,,1
1044,Star 37S,TE-364,TE-M-364-15,,Star 37C,711,1870,,287.3,,1
1045,Star 37XE,TE-364,TE-M-714-8,,Star 37XE,1401,,56,289.6,66,1
1046,Star 37XF,TE-364,TE-M-714-8,,Star 37XF,953,2340,56,290,66,1
1047,Star 37XFP,TE-364,TE-M-714-16,1985,Star 37XFP,955,2538,38,290,66,1
1048,Star 48,,TE-M-711-3,1980,Star 48,2113,,67.2,286,88,1
1049,Star 48B,,TE-M-711-17,1980,STS PAM-D,2134,5673,67.2,286,84.1,1
1050,Star 48B,,TE-M-711-18,1980,Delta PAM-D,2140,5801,68.7,292.1,84.1,1
1051,Star 48BV,,,,Conestoga,2168,5801,152,292,84.1,1
1052,Star 48V,,TE-M-940-1,,Conestoga,2160,5801,68.8,292.1,84.1,1
1053,Star 63D,,TU-936,1985,PAM-D2,3500,9046,84.8,283,118,1
1054,Star 63F,,TE-M-936-2,1993,Star 63F,4591,12535,104.7,297.1,120,1
1055,Start,Topol,,,Start-1 [4],1000,,100,295,207,1
1056,Stentor 101,,,1950,Blue Steel,,,112,,,1
1057,Stonechat I,,,1969,Stonechat,4780,8340,232,258.2,32.3,1
1058,Stonechat II,,,1971,Stonechat,5090,9610,242,293,32.8,1
1059,Stromboli,,,1968,Eridan [1],942,1550,97,230,16,1
1060,Super Draco,,,2009,Dragon,,,73,235,25,1
1061,Super Draco,,,2014,Dragon2,,,71,235,25,1
1062,Super Loki,,,1968,Super Loki,23,38,17.8,232,2.1,1
1063,Sword 3KS5000,,,,Cleansweep III,42,60,16,,3.8,1
1064,T-22,,,1944,Private A Booster,5,,24,206,.2,1
1065,T-40,,,1949,TB1 [4],62,89,13.3,,6,1
1066,T-41,Falcon,M-46,1949,Falcon,12,,,,,1
1067,T-55,,,1956,Terrapin,28,,21.4,,1.3,1
1068,T-7 LRE,,,1960,T-7,1000,,2,,,1
1069,T-7 booster,,,,T-7,500,,2,,,1
1070,T48,,,1954,Nike T48 Ajax,900,658,193,,3.4,1
1071,TD-187,Bullpup A,,1950,Bullpup,92,,53,,,1
1072,TD-2,,,2006,TD-2,,,250,,120,1
1073,TD-232,Bullpup B,,1950,Bullpup,255,,53,,,1
1074,TD-339,,,1966,Surveyor Vernier,3,,.46,287,,1
1075,TD1,,,1997,TD1 [3],252,,18.3,250,27,1
1076,TE-29-1A,Recruit,Recruit 1A,,Recruit,170,269,173,225,2.2,1
1077,TE-307,Apache,,1961,Apache,135,167,21.1,,6,1
1078,TE-388,Iroquois,,,Iroquois,100,,,,,1
1079,TE-406,Tomahawk,Tomahawk,1965,Tomahawk,220,417,53,,9,1
1080,TE-416,Tomahawk,Tomahawk,1965,Tomahawk,220,417,53,,9,1
1081,TE-473,Sandhawk,Sandhawk,,Sandhawk,600,1400,90,238,15,1
1082,TE-M-380,LES Jettison,,1965,Apollo LES Jettison,242,165,147,,,1
1083,THAAD,,,2004,THAAD,500,,,,,1
1084,THAAD Proto,,,1995,THAAD,500,,,,,1
1085,TQS492-2,,,2011,DFH-4 LAE,,15000,.49,315.1,,1
1086,TR-1,,,1989,TR-1,8558,32000,608,271.6,52,1
1087,TR-1A,,,1989,TR-1A,8558,32000,716,271.6,49,1
1088,TR-201,,,,Delta 2910,,,41.9,301.3,,1
1089,TR-306,DM-LAE,,1991,LM5000,,,.45,315,,1
1090,TR-308,DM-LAE,,1999,CXO,,,.47,322,3000,1
1091,TR-500,SCAT,,2001,Geolite,,,.04,,,1
1092,TT-200,,,,TT-200,150,,,,,1
1093,TT-210,,,,TT-210,150,,,,,1
1094,TT-500,,,,TT-500,1300,,116,,,1
1095,TT-500-S2,,,,TT-500-S2,700,,61,,,1
1096,TU-122,Minuteman,M55E1,1962,Minuteman 1B,23240,,891,,60,4
1097,TU-122-ATK,Minuteman,M55E1,1962,Minuteman 3 PRP,23240,,891,,60,4
1098,TU-223,,M16E3,1955,Mace Booster [0],700,,449,,2.4,1
1099,TU-289,Genie,Genie,1967,Genie,300,,162,,,1
1100,TU-715,Genie,Ute,1971,Ute,190,277,85,,4.6,1
1101,TU-716,Genie,Paiute,1972,Paiute,308,520,186,,3.7,1
1102,TU-758,SAM-D,Malemute,1974,Malemute (TX-516?),619,1395,55.1,281.2,22,1
1103,TU-904,MX,,1983,Peacekeeper [1],48625,,1711,281.4,78.8,1
1104,TX-12,,XM-100,1950,Sergeant,3134,,,,,1
1105,TX-135,,,1968,Spartan [1],5295,,2000,,4.5,1
1106,TX-16-1,,M16F1,1955,Matador [0],618,,254,,2.4,1
1107,TX-174,,Pershing,1960,Pershing [1],2269,,117,,39,1
1108,TX-175,Pershing,,1960,Pershing [2],1473,,85,,39,1
1109,TX-20,,XM-20?,,Sergeant,3200,,220,,23.8,1
1110,TX-238,,,,TX-238,3492,,,,,1
1111,TX-239,,,1959,Nike Zeus [3],368,,,,,1
1112,TX-261,,,,TX-261,1307,2761,244,,11.3,1
1113,TX-261-2,Pedro,Pedro,,Pedro,1307,2761,244,,11.3,1
1114,TX-261-3,Pedro,Pedro,,Pedro,1307,2761,244,,11.3,1
1115,TX-30,,,1960,Nike Hercules [2],1206,,44.5,,29,1
1116,TX-33,Castor,Castor,,Castor I,4000,7311,240,254.3,27.4,1
1117,TX-354-3,Castor,Castor 2A,,Scout [2],4427,10301,275.1,281.9,39,1
1118,TX-354-4,Castor,Castor 2,1965,Castor II,4320,9732,259,,37,1
1119,TX-454,,,1967,Spartan [2],6454,,,,,1
1120,TX-486-1,SAM-D,Malemute,1974,Patriot TX-486-1,619,1395,55.1,281.2,22,1
1121,TX-500,,,1968,Spartan[1],9000,,2000,,,1
1122,TX-52,,Lacrosse,1958,Doorknob,221,,,,,1
1123,TX-526,Castor 4,,1971,Athena H [1],10534,23760,428,,53.9,1
1124,TX-664-4,Terrier,Mk 70,,SM-2 [1],969,,,,6.2,1
1125,TX-77,,,,X-7A3 Booster,824,,227,,8.7,1
1126,TX-780,Castor,Castor IVA,1980,Atlas IIAS [-1],11600,26460,433.7,237.8,56.2,1
1127,TX-780XL,Castor,Castor IVAXL,1980,Atlas,14851,,599.8,269,60,1
1128,TX-859,Castor,Castor IVB,1991,Castor 4B,11476,26150,429,,60.9,1
1129,TX8-6,,,1958,Able I motor,15,25,3.6,233,7,1
1130,Talos Mk 11 Mod 2,Talos,Talos,,Talos [X-251C1],1500,2700,516,,5.3,1
1131,Taurus,M6,M31A1,1977,Taurus Orion [1],1343,1592,,,3.5,1
1132,Terrier Mk12 Mod 0,Terrier,,,Terrier,845,1157,257.5,195.4,4.4,1
1133,Terrier Mk12 Mod 1,Terrier,Adv Terr BT3,,Terrier  [X-256A1],817,1134,257.5,195.4,4.4,1
1134,Theodore,,,,Monica,10,18,1.8,,10,1
1135,Tianying 3C,,,2011,Tianying 3C,300,,,,,1
1136,Tianying 3F,,,2016,Tianying 3F,400,,,,,1
1137,Tiny Tim,,,1945,WAC,345,130,220,,.6,1
1138,Topaze,,,,Topaze,,,150,260,40,1
1139,Trident Motor,,,1967,RMP-B,670,,35,268,,2
1140,Trident St 3,,,1977,Trident [3],1900,,,,,1
1141,UA1205,T3SRM,,1965,Titan 3 SRM,226200,,5293.3,263,115,1
1142,UA1206,T3SRM,,1989,Titan 34D SRM,251400,,6227,265,114,1
1143,UA1207,T3SRM,,1989,Titan 4 SRM,319300,,7116.9,272,120,1
1144,UM-129A,,,,H-I [3],2200,,77.5,291,68,1
1145,UPS,,,1998,COMETS LAE,,,1.7,321.4,,1
1146,Unha St3,Nodong,,,,,,,,,1
1147,Upstage,,,,Upstage,140,,,,1,1
1148,Urbion,,,1984,INTA-100 [2],33,,1.5,,34,1
1149,V-750V,V-750,,,,,,30.4,,,1
1150,V-825,,,,V-825 St 2,,,131,,40,1
1151,Valois,LRBA,,1970,Diamant B [1],,39000,415,265,119,1
1152,Vega,Belier,,,Belier III,320,,20,,23.8,1
1153,Vela,,,1964,Aero High [2],118,133,26.7,,5,1
1154,Venus,Venus,,1961,Centaure [1],160,190,44,205,4.3,1
1155,Vero P2,,,1952,Veronique P2,500,,10,,,1
1156,Vero P6,,,1952,Veronique P6,500,,20,,,1
1157,Veronique,LRBA,,1952,Veronique,,,40,,,1
1158,Veronique 61,LRBA,,1964,Veronique 61,,,60,,,1
1159,Veronique AGI,LRBA,,1959,Veronique AGI,,1900,40,,49,1
1160,Veronique N,LRBA,,1952,Veronique N,,,40,,,1
1161,Vesta,LRBA,,1965,Vesta,,7900,140,,56.4,1
1162,Vexin,LRBA,,1964,Emeraude,,25500,274,,93,1
1163,Vexin A,,,,,,,68.6,277,,1
1164,Vexin B,,,,,,,75.4,251,,1
1165,Vexin C,,,,,,,99.1,251,,1
1166,Vikas,Viking,,1993,PSLV PS2,,109000,724,293,158,1
1167,Vikas GSLV,Viking,,1993,GSLV [1],,,700,281,200,1
1168,Viking IV,Viking,,1979,Ariane 1 St2,,,713,295.6,136,1
1169,Viking IVB,Viking,,,Ariane St2,,,785,293.5,126,1
1170,Viking V,Viking,,1979,Ariane 1 St1,,,693,280.6,142,1
1171,Viking VC,Viking,,,Ariane St1,,,758.5,278.4,205,1
1172,Viking VI,Viking,,,Ariane PAL,,,758.5,278,140,1
1173,Viper IIIA,Viper,,1972,Viper,30,59,24.7,,2.2,1
1174,Viper V,Viper,,1972,Viper,60,142,27,,5.3,1
1175,Volga,,,2103,Volga,,,2.9,307,,1
1176,Vulcain,,,1996,Ariane EPC H158,,,1114,430,589,1
1177,Vulcain 2,,,2002,Ariane EPC H175,,,1300,434,589,1
1178,WAC,WAC,,1945,WAC,313,300,6.7,,47,1
1179,Wasserfall,,,1944,Wasserfall,,,78,,40,1
1180,Waxwing,Waxwing,,1969,Waxwing,351,845,28.8,276,40,1
1181,X-202C3,,4DW105000,1950,X-7A1 Booster,800,1900,470,,4,1
1182,X-209,JATO,,,M8 JATO (1980s),71.8,,4.4,,14,1
1183,X-216A2,Nike,2.5-DS-59000,,Nike 1249,630,640,262,,2.5,1
1184,X-220,Deacon,,1953,Deacon,68,79,26,,3,1
1185,X-241,,,1958,Pilot [3],196,44,12.1,260.1,36,1
1186,X-248,Altair,Altair I,1959,Altair,296,561,14,,40,1
1187,X-248 [1],Altair,Altair I,1957,Altair  (Scout X-1 A,330,518,13.4,,38.6,1
1188,X-248A10,Altair,Altair I,1957,Altair (TB2 st3),296,516,13,,39,1
1189,X-248A3,Altair,Altair I,1958,Thor Able [3],232,518,14,250.5,39,1
1190,X-248A5,Altair,Altair I,1957,Altair/Scout X-1[4],240,516,12.5,255,38,1
1191,X-250,,DDT-70,1960,Polaris A2 [2],4200,,,,,1
1192,X-251,Talos,Talos,,Talos,1922,2700,516,,5.3,1
1193,X-254,Antares,Antares 1A,1960,Scout X-1[3],1230,2330,60.5,255,39,1
1194,X-254 (1),Antares,Antares 1A,1960,Antares  [Alway 2000,1300,2376,59.4,,40,1
1195,X-254 [1],Antares,Antares 1A,1960,Antares,1050,4200,62,255,39,1
1196,X-256,Terrier,,,Terrier  [X-256],820,1134,257.5,195.4,4.4,1
1197,X-258,Altair,Altair II,,Altair II,300,623,24.2,279.1,31,1
1198,X-258-B1,Altair,Altair II,,Scout B [4],260,620,27.5,278.1,24,1
1199,X-259,Antares,Antares 2,1962,Antares 2,1275,,96.5,,,1
1200,X-259-B3,Antares,Antares 2,,Scout B [3],1275,3225,93.1,281.4,35.9,1
1201,X-260,,,1960,Polaris A3 [2],4900,,,,,1
1202,X-265,,,,X-265,3000,,,,,1
1203,X-271,,,,X-271,1000,,,,,1
1204,X-405,X-405,,1957,Vanguard St1,,,120,,144,1
1205,X21AL-2600,Nike,,1947,Nike 46 Ajax [2],,,11.4,,21,1
1206,XASR-1,Aerobee,,1948,Aerobee,467,520,11.6,188.5,32.1,1
1207,XLR-11,XLR-11,,1959,X-15,,,36,,100,4
1208,XLR-43-NA-1,XLR-43,,,,,,333,,,1
1209,XLR-83-NA-1,XLR-83,,,,,,602,273,,1
1210,XLR-99,XLR-99,TD-214,1959,X-15,,,262.4,276,,1
1211,XLR-99,XLR-99,,1960,X-15,,,257,276,100,1
1212,XM-10,,Lacrosse,1958,Lacrosse,221,,,,,1
1213,XM-20,,XM-20,,"Draco, X-17",3200,6350,198,,32,1
1214,XM-30,,,1959,"X-17, Draco",1200,,54.3,,37,1
1215,XM-33-20-4,Castor,Castor,,Scout X-1 [2],4360,7268,276,224,27,1
1216,XM-33E2,Castor,TX-33-28,,Castor I,4000,7311,240,254.3,27.4,1
1217,XM-33E3,Castor,TX-33-20,,Castor,4000,7311,240,254.3,27.4,1
1218,XM-33E5,Castor,TX-33-33,,Castor,4000,7311,240,254.3,27.4,1
1219,XM-33E6,Castor,Shotput,,Castor,4000,7311,240,254.3,27.4,1
1220,XM-33E8,Castor,Castor,,Castor I (mod),3970,8272,236.7,254.3,35.3,1
1221,XM-42,Nike M-42,,1956,N Her booster (clust,2400,,,,,1
1222,XM-45,TX-77,Skat,1964,TB2 [2],922,,200,,6,1
1223,XM-51,Bomarc Booster,TX-131,1958,Bomarc B [0],2990,,222,,30,1
1224,XM5,Nike,2.5-DS-59000,1950,Nike (3-fin),630,,262,,2.5,1
1225,XR-5K18,,,2011,XCOR Lynx,,,12.9,,,1
1226,Xaero,,,,Xaero,,,13.2,,,1
1227,YF-1,,,,CZ-1 [1],,,255,240,130,1
1228,YF-100,,,,CZ-5,,,1200,305,155,1
1229,YF-115,,,,CZ-6 St 2,,,176.5,342,,1
1230,YF-20,YF,,1973,CZ-2C,,,696,289,128,4
1231,YF-20B,YF,,1973,CZ-3A St 1,,,740,289,166,4
1232,YF-21,YF,,1970,CZ-2 Stage 1 x4,,,740.4,260.7,122,1
1233,YF-22,YF,,1970,CZ-2 Stage 2,,,742,298,109,1
1234,YF-22B,YF,,1990,CZ-4 Stage 2,,,742,287.6,126.8,1
1235,YF-22B',YF,,1990,CZ-4B Stage 2,,,742,298,126.8,1
1236,YF-23,YF,,1990,FB-1 stage 2,,,716,286.9,117.4,1
1237,YF-23,,,1970,CZ-2 Stage 2 vernier,,,11.8,296,347,1
1238,YF-25,YF,,1973,CZ-3B,,,696,289,128,4
1239,YF-2A,YF-2,,,,,,306.1,268,,1
1240,YF-3,,,,CZ-1 [2],,,294,287,120,1
1241,YF-40,YF,,1990,CZ-4 Stage 3,,,98.1,303,303,1
1242,YF-40,,,,CZ-4B (3),,,49,295,,1
1243,YF-40A,,,,CZ-4C (3),,,49,295,,1
1244,YF-50D,YZ-1,,,CZ-3C/YZ-1,,,6.5,315.3,,1
1245,YF-73,YF-73,,1984,CZ-3 Stage 3,,,44.1,425,800,4
1246,YF-75,YF-75,,,CZ-3A Stage 3,,,78.5,440,470,1
1247,YF-75D,YF-75,,,CZ-5 Stage 2,,,88.3,442,700,1
1248,YF-77,,,,CZ-5,,,673,438,500,1
1249,YF-85,,,2015,CZ-6,,,4000,,,1
1250,Yardbird,Recruit,TE-289,1959,Yardbird,151,,75,,3.4,1
1251,ZN-1,,,1970,ZN-1,50,,,,,1
1252,Zefiro,Zefiro,,1999,Vega [2],17260,41830,590,271,71,1
1253,Zefiro 23,,,2012,Vega [2],26563,67776,935,289,71.7,1
1254,Zefiro 9A,,,2012,Vega [3],9730,,221,294,110,1
1255,Zefiro-40C,,,2017,Vega-C [2],39270,103600,1120,293.5,92.5,1
1256,Zenith,,,1967,Zenith,600,900,45,,21,1
1257,Zeus A,,,,Zeus A,2000,,,,,1
