STAGE_NAME,STAGE_FAMILY,STAGE_ALT_NAME,LENGTH,DIAMETER,LAUNCH_MASS,DRY_MASS,THRUST,DURATION,ENGINE_ID,ENGINE_COUNT
Blok DM-SL,Blok-D,,5.6,3.7,17.3,2720,85,650,17,1
Blok DM-SLB,Blok-D,,5.6,3.7,17.3,2720,85,650,17,1
Blok DM1,Blok-D,,6.3,3.7,17.5,2440,83.4,680,17,1
Blok DM3,Blok-D,,6.3,3.7,17.5,2440,83.4,680,17,1
Blok DM4,Blok-D,,6.3,3.7,17.5,2440,83.4,680,17,1
Blok SO-L,Blok-L,,3.2,2.4,6.2,999,66.7,250,900,1
Blok-2BL,Blok-L,,3.2,2.4,5.8,902,66.7,250,900,1
Blok-L,Blok-L,,3.2,2.4,7.3,1160,66.7,250,900,1
Blok-ML,Blok-L,,3.2,2.4,6.2,999,66.7,250,900,1
Blok-NVL,Blok-L,,3.2,2.4,5.8,902,66.7,250,900,1
Blok-VL,Blok-L,,3.2,2.4,5.8,902,66.7,250,900,1
Blue Sparrow,BlackSparrow,,4.8,.53,1.2,,,,218,1
Blue Streak,BlueStreak,,17.7,3.05,95,6800,1512,161,865,2
Bomarc A,Bomarc,,0,0,0,0,0,0,471,0
Bomarc B,Bomarc,,0,0,0,0,0,0,1223,0
Briz-K,Briz,14S12,2.5,2,6.7,1700,19.6,1000,929,1
Briz-KM,Briz,,2.5,2.5,6.7,1700,19.6,1000,929,1
Briz-M,Briz,,2.8,4.1,22.1,2370,19.6,3000,929,1
Bull Goose,BullGoose,,0,0,0,0,0,0,,0
Bullpup,Bullpup,,3,.3,.3,,111,,159,1
Burya,Burya,La-350,18,2.2,40.8,13000,,0,,1
Burya booster,Burya,,18.9,1.5,27,4000,765,,904,1
C-130,Air,,0,0,0,0,0,0,,0
C-17,Air,,0,0,0,0,0,0,,0
C-3 Stage 1,Poseidon,,4.8,1.88,10,,,,221,1
C-3 Stage 2,Poseidon.St2,,2.5,1.88,7,,,,222,1
CB-250,CB-250,,1,.25,.3,,,,825,7
CPKM,SD,,2.9,1.4,4.6,496,222.8,65.2,226,1
CSXT,CSXT,,6.4,.25,.3,96,71,13.4,894,1
CUS12,GS3,,8.7,2.8,14.6,2200,73.6,720,366,1
CUS15,GS3,,8.7,2.8,14.6,2200,73.6,720,366,1
CZ Booster,CZ.LB,LB40-YF25,15.3,2.25,37.7,3200,740.4,128,1238,1
CZ-11-1,DF-31,,8,2,40,5000,,,228,1
CZ-11-2,DF-31,,6,2,15,,,,229,1
CZ-11-3,CZ11-3,,2,1.8,4,,,,230,1
CZ-11-4,CZ11-4,,1.5,1.5,2,,,,231,1
CZ-2 Stage 1,DF5,L140-YF21,20.5,3.35,153,10000,2961,122,1232,4
CZ-2 Stage 2,CZ.St2,LF35-YF24,7.5,3.35,39,4000,742,109,1233,1
CZ-2C Stage 1,DF5,L140-YF21,20.5,3.35,153,10000,2961,122,1232,4
CZ-2C Stage 2,CZ.St2,LF35-YF24,7.5,3.35,39,4000,742,109,1233,1
CZ-2Cj Stage 2,CZ.St2,LF35-YF24,7.5,3.35,39,4000,742,109,1233,1
CZ-2E Stage 1,DF5,L180-YF21B,23.7,3.35,196.5,9500,2961,166,1232,4
CZ-2E Stage 2,CZ.St2,L90-YF24B,15.5,3.35,91.5,5500,742,295,1233,1
CZ-3 Stage 1,DF5,L140-YF21,20.2,3.35,151,9000,2785,132,1232,4
CZ-3 Stage 2,CZ.St2,LF35-YF24,9.7,3.35,39,4000,720,180,1233,1
CZ-3 Stage 3,CZ3.St3,H8-YF73,7.5,2.25,10.5,2000,44.1,800,1245,1
CZ-3A Stage 1,DF5,L180-YF21B,23.3,3.35,180,9500,2961,145,1232,4
CZ-3A Stage 2,CZ.St2,L35-YF24B,9.9,3.35,33.6,4000,742,180,1233,1
CZ-3A Stage 3,CZ3.St3,H18-YF75,12.4,3,21,2800,157,470,1246,2
CZ-3B Stage 2,CZ.St2,L35-YF24B,9.9,3.35,44,4000,742,180,1233,1
CZ-3BE Booster,CZ.LB,LB41-YF25,16.1,2.25,41,3200,740.4,128,1238,1
CZ-3BE Stage 1,DF5,L180-YF21B,24.8,3.35,186.2,9500,2961,145,1232,4
CZ-4 Stage 1,DF5,L180-YF21B,24.7,3.35,192.7,9500,2961,170,1232,4
CZ-4 Stage 2,CZ.St2,L35-YF24B,10.4,3.35,39.6,4000,742,127,1234,1
CZ-4 Stage 2j,CZ.St2,L35-YF24B,10.4,3.35,39.6,4000,742,127,1234,1
CZ-4 Stage 3,L14,L14-YF40,1.9,2.9,15.2,1000,98.1,303,1241,1
CZ-4B Stage 2,CZ.St2,L35-YF24B,10.4,3.35,39.6,4000,742,127,1235,1
CZ-4B Stage 3,L14,L14-YF40,1.9,2.9,15.2,1000,98.1,303,1241,1
CZ-4C Stage 3,L14,L14-YF40,1.9,2.9,15.2,1000,98.1,303,1243,1
CZ-5 Booster,DF5,K3-1,27.6,3.35,155.7,12000,2400,180,1228,2
CZ-5 Stage 1,CZ5,CZ-H5-1,31.7,5,175.6,17300,1400,480,1248,2
CZ-5 Stage 2,CZ5,CZ-H5-2,10.6,5,22.2,5100,176.5,700,1247,2
CZ-7 Stage 1,DF5,K3-1,26,3.35,186,12000,2400,215,1228,2
CZ-7 Stage 2,CZ.St2,K3-2,11.5,3.35,71,6000,720,,1229,4
CZ-K2-1,CZ.LB,,26.5,2.25,81.5,6000,1200,185,1228,1
CZ-K2-2,CZ1.St2,,8,2.25,15,3000,,,1229,1
CZ-K2-3,CZ1.St2,,4,2.25,,1000,,,1249,4
CZ6-C,DF5,,15,3.35,84,4100,1224,,1228,1
Cajun,Deacon,,2.6,.166,.1,22,36,3,232,1
Canopus,Rigel,,2,.28,.2,,,18,233,1
Castor,Sergeant,,6,.79,4.2,783,235,38,1116,1
Castor 1,Sergeant,,6,.79,4.2,783,235,38,1116,1
Castor 120,MX,,10.7,2.3,53.1,4450,1604,83.4,234,1
Castor 2,Sergeant,,6,.79,4,565,259,37,1118,1
Castor 2A,Sergeant,,6,.79,4,565,259,37,1117,1
Castor 30,MX,,3.5,2.35,14,1220,260,136,235,1
Castor 30B,MX,,4.2,2.35,14,1083,293.4,128,236,1
Castor 30XL,MX,,6,2.35,26.3,1220,260,166,237,1
Castor 4,Castor4,,9.7,1.02,10.5,1200,428,53.9,1123,1
Castor 4A,Castor4,,13.6,1.02,11.6,1400,433.7,56.2,1126,1
Castor 4AXL,Castor4,,15,1.02,15.4,2500,745,60,1127,1
Castor 4B,Castor4,,8.8,1.02,11.5,1420,429,60.9,1128,1
Cedre St1,Cedre,,2.3,.52,1,,138,,238,1
Cedre St2,Cedre.St2,,2.1,.21,.4,,78,,239,1
Cedre St3,Cedre.St3,,2.1,.08,.2,,20,,240,1
Cedre-4 St1,Cedre,,3,.21,1,,138,,241,1
Centaur,Centaur,Centaur,9.1,3.05,15.6,2000,134,430,827,2
Centaur D,Centaur,Centaur,9.1,3.05,15.6,2000,134,430,827,2
Centaur D-1A,Centaur,Centaur D1AR,9.6,3.05,16.3,2630,134,430,828,2
Centaur D-1T,Centaur,,9.6,3.05,16.3,2630,134,470,828,2
Centaur I,Centaur,Centaur,9.2,3.05,15,1700,147,402,830,2
Centaur II,Centaur,Centaur,10.1,3.05,18.8,2053,147,488,830,2
Centaur IIA,Centaur,Centaur,10.1,3.05,19,2200,198.4,370,832,2
Centaur IIIA,Centaur,Centaur,10.1,3.05,18.6,1720,99.2,740,834,1
Centaur IIIB/C-1,Centaur,Centaur,11.7,3.05,22.9,2130,101.8,740,836,1
Centaur IIIB/DEC,Centaur,Centaur,11.7,3.05,22.9,2130,198.4,740,833,2
Centaur IIIB/SEC,Centaur,Centaur,11.7,3.05,22.9,2130,99.2,740,834,1
Centaur T,Centaur,Centaur,9,4.3,23.8,2775,146,600,829,2
Centenario,Rigel,,2.4,.28,.2,,39,11.2,242,1
Cetus,Cetus,,.5,.38,.1,10,40,20,642,1
Chick,Chick,,.6,.1,.05,6,20,.2,244,1
Chick x3,Chick,,.6,.1,0,6,60,.2,244,1
Chick x4,Chick,,.6,.1,0,6,80,.2,244,1
Cirrus I,Cirrus,,2,.2,.1,,5,,245,1
Cirrus II,Cirrus,,2,.2,.1,,18,,246,1
Cluster Stage 2,Cluster,11xBaby Sergeant,1.2,.89,.5,223,80,6,860,11
Cluster Stage 3,BabySergeant,3xBaby Sergeant,1.2,.3,.1,63,22,6,860,3
Coralie,Coralie,,6.5,2.01,12,2400,268,105,247,4
Corporal E,Corporal,Corporal,13.7,.76,4.5,,89,63,249,1
Corporal Type 1,Corporal,Corporal,13.7,.76,5.2,,89,63,248,1
Cuckoo 4,Raven,,1.2,.44,.2,,,4.3,250,1
Cuckoo IA,Raven,,1,.44,.2,,80,4,251,1
Cuckoo IB,Raven,,1.2,.44,.2,57,80.9,4.1,252,1
Cuckoo II,Raven,,1.2,.44,.2,37,36.5,10,253,1
Cygnus 10,10SM,,.4,.25,0,1,10,3.2,255,1
Cygnus 15,Cygnus,,.4,.38,.1,5,22,4.8,256,1
Cygnus 20,20SM,,.7,.51,.1,10,30,8.5,257,1
Cygnus 25,25SM,,1.1,.64,.2,19,33.3,16.5,258,1
Cygnus 40,40SM,,1.1,1.01,1,74,83,26,259,1
Cygnus 5,5inSM,"5""SM",.2,.13,0,1,2.3,1.6,260,1
DAC Roc,DACRoc,,3,.25,.3,,50,10,264,1
DC-X,DC-X,,12.6,4.95,18.8,10000,242,263,826,4
DC-XA,DC-X,Clipper Graham,12.6,4.95,18.8,10000,242,263,826,4
DF-1,V-2,,14.1,1.65,14,4000,270,65,265,1
DF-11,DF-11,,7.4,.88,5.4,1645,93.2,,266,1
DF-11M,DF-11,,9.4,.88,5.4,1645,93.2,,266,1
DF-15,DF-15,M-9,9.1,1,6.2,,,,267,1
DF-16,DF-16,,7.5,1.2,12,,,,268,1
DF-2,V-2,,20,1.65,30,4000,300,,1227,1
DF-21,DF-21,CSSNX3,6,1.4,16.6,,,65,269,1
DF-21 St2,DF-21,CSSNX3,4,1.4,8.7,,,62,270,1
DF-2A,V-2,,20,1.65,30,4000,300,,1227,1
DF-31 St1,DF-31,,8,2,35,,,,271,1
DF-31 St2,DF-31,,4,2,10,,,,272,1
DF-31 St3,DF-31,,2,2,2,,,,273,1
DF-41 St1,DF-31,,8,2,35,,,,274,1
DF-41 St2,DF-31,,4,2,10,,,,275,1
DF-41 St3,DF-31,,2,2,2,,,,276,1
DF-5 Stage 1,DF5,LF140-YF21,20.2,3.35,151,9000,2785,132,1232,4
DF-5 Stage 2,CZ.St2,LF35-YF24,7.5,3.35,39,4000,742,110,1233,1
DF3-YF2A,DF3,,18,2.25,64.1,4100,1224,130,1239,4
DF4-YF3,CZ1.St2,,5.4,2.25,15,2700,306,110,1240,1
DIM,DIM,,1.9,.125,.04,,,,278,1
DS,DS,,.5,1,.5,50,,250,283,1
DSV-3E-3,Ablestar,Delta AJ10-118E,5.2,1.39,6,785,33.7,400,124,1
DSV-3N-4,Ablestar,Delta AJ10-118F,6.3,1.39,5.6,784,41.4,335,125,1
DSV-3P-4,Ablestar,Delta AJ10-118F,6,1.39,5.6,784,41.4,335,125,1
DSV-3P-4B,Ablestar,Delta TR-201,6,1.39,5.4,845,42,322,1088,1
Deacon,Deacon,,2.8,.152,.1,24,26,3,1184,1
Delta CBC,Delta4,,40.8,5,226.4,26760,2891,249,853,1
Delta CBC RS-68A,Delta4,,40.8,5,226.4,26760,3124,249,854,1
Delta D4SS-4,D3SS,Delta/0030,12,4,24.2,2850,110,850,835,1
Delta D4SS-5,D4SS,Delta-5m,12,5,30.7,3490,110,1125,835,1
Delta III Stage 1,Thor,,20,2.44,102.4,6820,1085.8,261,850,1
Delta III Stage 2,D3SS,Delta/0030,8.8,4,19.3,2475,110,700,835,1
Delta/0020,Delta2,Delta AJ10-118K,6,1.75,6.9,950,43.7,431,127,1
Demon,Demon,,2.8,.18,0,,,2.3,288,1
Dolphin,Dolphin,,15.5,1.07,7.5,,155,,289,1
Dorado,Demon,,3.1,.18,.14,66,42,4.1,290,1
Dragon V2,Dragon,,6.1,3.7,4.2,4200,584,5,1061,8
Dummy stage,Generic,,0,0,0,0,0,0,,0
E-8-5 VA,E8,,2.3,.5,.4,,,,292,1
EELT Thor,Thor,,26.1,2.44,101.8,5680,1085.8,261,850,1
ELT Thor DSV-2L,Thor,,22.4,2.44,84.1,4059,860,222,556,1
ELT Thor DSV-2L-1D,Thor,,22.4,2.44,84.1,4059,860,222,556,1
ELT Thor DSV-2L-1E,Thor,,22.4,2.44,84.1,4059,860,222,556,1
ELT Thor DSV-2W,Thor,ELT Thor 3900,22.4,2.44,84.4,4360,1030,223,849,1
ELT Thor DSV-2W-1,Thor,,22.8,2.44,84.4,4360,912,223,849,1
ELT Thor N,Thor,,22.4,2.44,85.8,4400,860,270,556,1
EPKM,SD,,2.8,1.7,6,541,177,87,302,1
ESC-A,EPS,,7,5.43,14,2000,64,945,343,1
ET,STS,,47,8.4,748,27000,6300,516,983,3
Elan,Belenos,,1.6,.21,.08,32,,2.5,161,1
Electron Stage 1,Electron,,12.1,1.2,10.2,950,162,,878,9
Electron Stage 2,Electron,,2.4,1.2,2.3,250,22,,879,1
Electron Stage 3,Electron,,1,1,1,,,,254,1
Emad,Nodong,,16,1.25,15.1,2000,255,90,655,1
Emeraude,Emeraude,,9,1.4,14.7,1500,274,93,1162,1
Emilie,Belenos,,1.6,.21,.08,32,,2.5,297,1
Emma,Emma,,1.7,.13,.05,11,1.4,37,951,1
Emma Booster,Emma,,.8,.13,.02,13,14.8,1,953,1
Energiya,Energiya,,58.1,7.75,780,80000,7850,480,724,4
Energiya Blok A,Zenit,,38.3,3.9,360,60000,7908,145,768,1
Epsilon PBS,EPBS,,1.2,1.5,.3,200,.4,1100,296,1
Excalibur,Excalibur,,2.4,.11,.04,13,25,2.5,298,1
F-104A Starfighter,Air,,0,0,0,0,0,0,,0
F-15D,Air,,0,0,0,0,0,0,,0
F2H2 Banshee,Air,,0,0,0,0,0,0,,0
F3H Cougar,Air,,0,0,0,0,0,0,,0
F4B Phantom,Air,,0,0,0,0,0,0,,0
F4D Phantom,Air,,0,0,0,0,0,0,,0
F4D-1 Skyray,Air,,0,0,0,0,0,0,,0
F4H Phantom,Air,,0,0,0,0,0,0,,0
F86D Sabrejet,Air,,0,0,0,0,0,0,,0
FB-1 Stage 1,DF5,LF140-YF21,20.2,3.35,151,9000,2785,132,1232,4
FB-1 Stage 2,CZ.St2,LF35-YF24,7.5,3.35,39,4000,742,110,1236,1
FFAR,FFAR,,1.2,.07,0,5,3.6,1.5,300,1
FFK,FFK,,4,.25,.3,,,,301,1
FTB,FTB,,3,.13,.07,1,,,979,1
FTI,FTI,,5,.3,.07,1,,,304,1
FTV,ISRO-TV,,2,.25,.3,,,,,1
FW4D,FW4,,1.5,.5,.3,25,25,30.5,305,1
FW4S,FW4,,1.5,.5,.3,32,25,30.5,305,1
Falcon,Falcon,,1,.16,.02,0,0,0,308,1
Falcon 1,Falcon1,,13,1.7,22.9,1360,378,169,587,1
Falcon 1 St 2,Falcon1,,4.5,1.7,4.5,544,33,418,442,1
Falcon 9 St 1,Falcon9,,29,3.65,302,17726,3680,174,587,9
Falcon 9 St 1/1D,Falcon9,,42,3.65,390,18000,5886,180,590,9
Falcon 9 St 1/1D-4,Falcon9,,43.5,3.65,390,18000,6770,180,591,9
Falcon 9 St 1/1D-5,Falcon9,,43.5,3.65,390,18000,6770,180,592,9
Falcon 9 St 1/1D-FT,Falcon9,,43.5,3.65,390,18000,6770,180,593,9
Falcon 9 St 2,Falcon9.St2,,10,3.65,52,2957,427,345,589,1
Falcon 9 St 2/1D,Falcon9.St2,,12.6,3.65,75.7,4900,801,372,594,1
Falcon 9 St 2/1D-4,Falcon9.St2,,12.6,3.65,75.7,4900,801,372,594,1
Falcon 9 St 2/1D-5,Falcon9.St2,,12.6,3.65,75.7,4900,801,372,594,1
Falcon 9-1D,Falcon9,,33,3.65,302,18000,547,174,590,1
FalconLaunch,SuperLoki,,2,.1,.03,6,18,2.1,1062,1
Fateh-110,Zelzal,,9,.61,1,,,,649,1
Frangible Arcas,Arcas,,1.8,.11,0,15,1.5,29,546,1
Fregat,Fregat,,1.5,3.35,6.5,1100,19.6,877,926,1
Fregat-SB,Fregat,,2.4,3.35,8.5,1050,19.6,1200,926,1
GCA/Orion 38,Pegasus.St3,,2.1,2.35,1.2,500,36,69.6,666,1
GCR 33KS2800,GCR,,1.4,.46,.2,30,12.5,33,73,1
GEM-40,GEM,,13,1.02,13.1,1315,499.2,63.3,312,1
GEM-46,GEM,,14.7,1.17,19.3,2035,608.1,75.2,313,1
GEM-60,GEM60,,16.2,1.52,33.2,3850,851.5,90,315,1
GF-01A,GF-02,,2,.77,2,200,29,140,317,1
GF-02,GF-02,,3.9,.77,2,250,118,38,316,1
GLCM,GLCM,,6.4,.53,1.8,,,,,0
GS1-L110,GSLV3,,17,4,110,,1400,200,1167,2
GS1-S125,PSLV,,20.3,2.8,156,27000,4700,100,901,1
GS1-S139,PSLV,PS-1,20,2.8,177,30000,4910,105,902,1
GS2,PSLV.St2,,11.6,2.8,42.8,4800,799,136,1166,1
GS2-C25,GSLV3.St2,,8.2,4,27,,200,580,225,1
GSOM,PSLV.St2,L40,19.7,2.1,46,6000,680,160,1166,1
GSOM-S200,GSOM,,22,3.2,207,,4800,130,913,1
GammaCen Booster,GammaCen,,.8,.13,.03,,,,,1
GammaCen Sustainer,GammaCenS,,1.6,.09,,,,,,1
Genie,Genie,MB-1,1.8,.38,.3,,156,1.5,552,1
Genie-Alarr,Genie,,3.1,.38,.3,,,,552,1
Ghauri,Nodong,Ghauri,16,1.25,16,3000,255,110,655,1
Ghaznavi,DF-11,,9.4,.88,5.4,1645,93.2,,266,1
Goldfinch,Raven,,2.5,.44,.4,94,175,3.5,323,1
Goldfinch II,Raven,Goldfinch,3,.44,.4,89,,3.5,322,1
Goose,Gosling,,3.4,.26,.3,95,22,17,324,1
Gosling,Gosling,,3.3,.26,.2,,152,2.5,325,1
Gosling 4T,Gosling,,3.6,.26,.3,89,137,3.1,326,1
Gosling IIN,Gosling,,3.5,.26,.2,,140,3,325,1
Gosling IV,Gosling,,3.5,.26,.3,,140,3,326,1
Grad,Grad,,5,.6,1,,,,207,1
Gradicom 1,Gradicom,,2.5,.32,.4,,,,328,1
Gradicom 2,Gradicom,,2.5,.32,.2,,,,329,1
Gun Projectile 16,Gun16,,1,.41,.1,,,,,0
Gun Projectile 5,Gun05,,1,.13,.1,,,,,0
Gun Projectile 7,Gun07,,1,.18,.1,,,,,0
H-II SRB,H2.SRB,,23.4,1.8,70.4,11200,1550,94,331,1
H-II SRB-A,H2.SRB,,15.2,2.5,75,10000,2250,100,332,1
H-II SRB-A3,H2.SRB,,15.1,2.5,76.5,10500,2305,120,333,1
H-II SSB,H2.SSB,,9,1.1,10.5,2100,338,66,334,1
H-II Stage 1,H2,H-II,34.4,4,98,11700,1080,346,458,1
H-II Stage 2,H2.St2,H-II St2,11,4,16.7,2700,122,600,456,1
H-IIA Stage 1,H2,H-II,37.2,4,114,13000,1100,390,459,1
H-IIA Stage 2,H2.St2,H-II St2,9.2,4,20,4000,137,600,457,1
H-IIA Stage 2 U,H2.St2,H-II St2,9.2,4,20,4000,137,600,457,1
H-IIB Stage 1,H2B,H-II,38,5.2,202,24000,2196,352,459,2
HAEC FFAR,FFAR,,1.4,.08,0,,,2.8,337,1
HALO,HALO,,1.6,.13,.02,10,.2,,338,1
HAPS,HAPS,,.8,1,.1,50,.7,180,566,3
HAPS Stage,HAPS,,.8,1,.1,50,.7,180,566,3
HAT,LongTom,,1.8,.41,.3,,90.4,2.3,288,2
HIBEX,HIBEX,,3.1,.79,6,,,,340,1
HIBEX-U,HIBEX,,3.1,.79,6,,,,341,1
HOTROC,HOTROC,,1.8,.3,.1,27,63.2,4.9,344,1
HPAG,Sidewinder,,1.8,.13,.03,12,12.5,2.7,345,1
HPS3,PSLV.St3,PS-3,3.6,2,8.4,1100,324,83,691,1
HPS4,PSLV.St4,PS-4,2.6,2,2.9,920,14.8,425,485,2
HTR,HTR,,10,.25,.5,,30,20,347,1
HV Arcas,Arcas,,1.6,.11,0,15,1.5,29,548,1
HVAR,HVAR,,1.7,.13,.04,17,25,.9,348,1
HYSR,HYSR,,15,.61,,,270,,349,1
Hades,Hades,,5,.53,1.8,,,,156,1
Hatf I,Stromboli,,3,.56,.9,246,75,16,1059,1
Hawk,Orion,,5,.35,.6,,13,32,522,1
Hercules Booster,Hercules,,4.3,1.06,2.4,,772,3.4,1221,4
Hermes A-1,Hermes,,7.8,.86,5,,71,,350,1
Hermes A-3A,HermesA3,,8.7,1.02,3.8,,80,,351,1
Hermes A-3B,HermesA3,,10.1,1.19,5.3,2000,100,,352,1
Heron,Gosling,,3.6,.26,.3,72,137,3.1,326,1
Hopi,Hopi,,2.1,.11,.03,7,18,3,354,1
Hopi III,Hopi,,2,.11,.03,8,28,2.1,353,1
Hopi IV,Hopi,,2.4,.11,.04,9,7.7,9,355,1
Hound Dog,HoundDog,,0,0,0,0,0,0,,0
Hwasong 10,R-27,,8,1.5,10,,255,128,413,1
Hwasong 5,R-11,,10,.88,5,,93,,905,1
Hwasong 6,R-11,,10,.88,5,,93,,905,1
Hwasong 7,R-11,,10,.88,5,,93,,905,1
Hwasong ER,R-11,,12,.88,5,,93,,905,1
Hwasong-12 Stage 1,Hwasong-12,,11.8,1.75,10,,,151,356,1
Hwasong-14 Stage 2,Nodong,,2.1,1.25,3,,,224,413,1
Hwasong-15 Stage 1,Hwasong-15,,2.1,2.25,3,,,224,346,1
Hwasong-15 Stage 2,Hwasong-15,,2.1,2.25,3,,,224,346,1
Hwasong-7,Nodong,,16,1.25,15.1,2000,255,110,655,1
Hydac,Javelin,,3.7,.23,.3,,58.7,,358,1
Hyperion,AMROC,,5.8,.147,.1,46,6,15,359,1
Hyunmoo Booster,Hyunmoo,,4.2,1.2,2.4,,800,,360,1
Hyunmoo-2A,Hyunmoo,,7,1.2,4,,,,361,1
Hyunmoo-2B,Hyunmoo,,7,1.2,4,,,,361,1
Hyunmoo-2C,Hyunmoo,,7,1.2,4,,,,361,1
IAI Arrow,Arrow2,Arrow,5,.8,1.5,,,,363,1
IAI Arrow St2,IAI.Arrow.St2,Arrow St2,2.5,.5,.5,,,,364,1
IAI Arrow-1,Jericho,Arrow,5,1.35,1.5,,,,362,1
INTA S-12,INTA-100,,1.6,.1,.03,,16.7,1.2,367,1
INTA-100,INTA-100,,2.5,.12,.03,,1.5,32,1148,1
IRIS Stage,IRIS.Fiat,IRIS,1.7,1.31,1.7,146,58,79,368,1
IUS SRM-1,Orbus21,Orbus 21,3.5,2.3,10.9,1115,186,153,663,1
IUS SRM-2,Orbus6,Orbus 6E,2.1,2.9,3.9,1005,76.5,104,664,1
Icarus,Icarus,,2.3,.15,.04,4,15.8,6.4,371,1
Icarus Stage 2,Icarus2,,1.4,.11,.01,4,4.1,7,372,1
Ikar,Ikar,,2.6,2.72,3.1,2344,29.4,600,51,1
